regex,category,source
SMP\*Bistro Bytes,1,
SMP\*BUB COFFEE,1,
SMP\*DEBIA\*FRUIT BOX \(GENE,1,
SMP\*DEVIL'S KITCHEN,1,
SMP\*GU ZAO REN TAIWAN POR,1,5
SMP\*HA\-JUN\ KOREA,1,4
SMP\*HAY GELATO,1,
SMP\*NEW NANYANG ONE@KENTR,1,4
SMP\*PANG ZI DURIAN,1,
SNP\*GELATIAMO,1,
SNP\*MOTHER DOUGH,1,
SO FRANCE - WINE BAR,1,
SOFT SPOT,1,"4,7"
softpay\*JIL & YELLOWTA,1,
SONG HENG L,1,
SONG KEE FR,1,3
SOON HENG P,1,
SOON LEE HE,1,
SOYA BEAN D,1,
SP 07A20A-2,1,
SP DAIRY FARMSTORE,1,
SP MSGIGGLESKIDS,1,
SP NUTRITION KITCHEN,1,
SP OG DEPT STORE,1,
SP SHOPIFY-SG PAYMENT,1,
SP THIRSTY_BEER_SG,"1,5",
SQSP\* .*,"1,7",6
SRP PTE LTD,1,
STINGRAY FO,1,3
STUFFD\-OKR,1,4
Stuffd.*,1,
SUM DIM SUM,1,5
SUN WITH MOON LIGHT,1,
SUNSHINE CA,1,
SUPER MUMMY,1,
Surrey Hills - One HV,1,
SUSHI ZANMAI,1,
SUSHI-GO JURONG POINT,1,
SUSHIRO,1,
SuuKee Coffee,1,
SUZETTE INTERNATIONAL N/A,1,
SWATOW RESTAURANT,1,
SWEET CHEEKS,1,
SZ FNB WILD3T,1,
T-BAR,1,
TAI CHEONG.*,1,
TAI HWA POR,1,3
TAI SENG FI,1,
TANG TANG MALATANG - JURO,1,
TANGLIN,1,
TARIK N/A,1,
TASH TISH TOSH SEAFOOD,1,
TEA EXPLORER PTE LTD,1,
TENDERBEST MAKCIK TUCK,1,
Teppei Syokudo,1,
TERRAFOLKS AND FOODS P,1,
THE BRICK SHOP,1,
THE CAPITOL KEMPINSKI,1,
THE CARVING BOARD,1,
THE COCONUT CLUB,1,
THE DIM SUM PLACE YC,1,
THE DINING AVENUE,1,
THE DURIAN,1,
THE GALLERY STORE,1,
THE GOOD BEER CO\. .*,1,
THE HALIA SING4OE,1,
THE HEADLES,1,
THE LUNAR RABBIT,1,
THE ORIGIN,1,
THE PLANTE\* THEPLANTER,1,
THE\ PLANTERS\ PTE\ LTD\ N/A,1,7
THE SUMMER ACAI \(JP\),1,"5,7"
THE SUSHI BAR DINING,1,
THE TEA PARTY PTE LTD N/A,1,
The White Tiffin - .*,1,
THEATRE CONCESSIONS,1,
THEDARKGALLERY\.COM,1,
THEHEADLESSBAKER&SONS,1,
THESUMMERACAI\.COM,1,4
Thomson Nutri,1,
THUS COFFEE PTE LTD,1,
THYE MOH CHAN - CHINATOWN,1,
TIAN WEI SIGNATURE,1,
TIANDIANDIAN,1,
TIMHOWAN - WESTGATE,1,
TIONG BAHRU.*,1,
TIPSY BUNNY,1,
TMCF - RAFFLES CITY,1,
TOAST BOX - .*,1,
TOBY'S THE DESSERT ASYLUM,1,
TOKYU HANDS - PAYA LEBAR,1,
TOLIDOS-ESPRESSO-NOOK,1,
TOM'S KITCH,1,
TOMI SUSHI .*,1,
TOMIZUSHI,1,
TONG\ HENG,1,3
TONKATSU BY MA MAISON,1,
TONKATSU ENBITON - CCP,1,
TONKICHI TAKA,1,
TORI-Q JEM,1,
TPY 93,1,
TRADITIONAL,1,
TREASURE TOAST PTE LT,1,7
TS/ICHIKOKUDO RAMEN,1,
TS/JIMMY MONKEY PLQ,1,
TS/Kajiken Square 2,1,
TS/Nanas Green Tea D,1,
TS/PEPPER LUNCH  JURO,1,
TSUI WAH JEM,1,5
TSUJIRI.*,1,
TSUKIMI HAMBURG - JURO,1,
TSUTA SPORE-313@SOMERSET,1,
TWENTY LOAF TOASTIES-TJE,1,
TWO HANDS ASCENT,1,
Two Men Bagel House - HV,1,5
TWYST AT SINGPOST CENT.*,1,
UNAGIYA ICHINOJI,1,
UNPACKT PTE LTD,1,
UNTANGLED\.SG,1,
VENCHI 3ina Bay Sand,1,
VERMIX CINT,1,
VERNACULAR\ COFFEE\ PTE\.,"1,5",7
VERY NICE C,1,3
VICTORS-KITCHEN\* ODDLE,1,
WADORI JURONG POINT,1,
WAI KEE WAN,1,
WALAH.*,1,6
WAN WAN,1,
WANG FU SG PTE\. LTD\.,1,
WANTON NOOD,1,
WARABIMOQI PTE LTD\* OD,1,
WARBURG\ VENDING\ P\ L,1,6
WATAMI JAPANESE-ION,1,
WEDANG,1,
WEI YI LAKS,1,
WEST'S BROS,1,
WESTERN BAR,1,
Whiskdom Galaxis,1,
Working Title Pte Ltd,1,
WTR\*AJUMMAS-PLQ,1,
WU PAO CHUN - PARAGON,1,
WUSHILAND,1,4
WWW\.AAS\.COM\.SG,1,
WWW\.BETTERCRAFT\.COM\.SG,1,
WWW\.JAGUARITAS\.COM,1,
WWW\.JUSIGNATURES\.C\* OD,1,
WWW\.KEISUK\* CHARCOALGR,1,
WWW\.KEISUK\* HAMBURGSTE,1,
WWW\.KEISUK\* TONKOTSUKI,1,
WWW\.PERAMAKAN\.COM,1,
WWW\.PLAYMADE\.COM,1,
WWW\.PSCAFE\.COM,1,
WWW\.RES\.CO\* TSUKIMIHAM,1,
WWW\.THEBUTTERST\* ODDLE,1,
XIANG JI,1,
XIANG XIANG HUNAN CUIS,1,
XIANGYU PAN,1,
XIAO LONG KAN HOTPOT,1,
XIMENJIE,1,4
XIN HENG HA,1,3
XIN KEE HAI,1,2
XIN WANG- NUH,1,
XIN XIN FRU,1,
XMX 2 PTE L,1,
XW WESTERN GRILL- RC,1,
YA KUN.*,1,"5,7"
YAKI YAKI BO - JURONG POI,1,
YAMAZAKI - VIVOCITY,1,
YE LAI XIAN,1,
YEW CHUAN C,1,
YGF,1,
YHS\(SINGAPORE\),1,6
YM BAKERY,1,
YOLE @ WESTGATE,1,
YONG TAU FO,1,3
YOUFU COFFE,1,
YQUEUE HVALA 111,1,
YU YOU PTE,1,2
YUAN\ COFFEE\ SP\ N/A,"1,5",4
YUAN HENG,1,
YUNG SHENG,1,
ZAI SHUN CU,1,3
ZHAO AN GRA,1,
ZHAO WEISHE,1,2
COLD STORAGE.*,2,6
DAISO JAPAN - .*P,2,"6,7"
DON DON DONKI .*,2,"5,7"
FAIRPRICE.*,2,7
FASSLER GOURMET P/L,2,
HOCKHUA TONIC-JURONG PT,2,
KOK FAH FAR,2,
LITTLE FARMS-COVE AVENUE,2,
NTUC F.*,2,"4,5,7"
PAYNOW Q\.B\. FOOD \.\.\. ,2,
PAYNOW YEW LUCK L\.\.\. ,2,"2,3"
RedMan at Parkway,2,6
REDMAN BY PHOON HUAT A,2,
RedMan@WG,2,
SHOPEE SINGAPORE MP,"2,3,4,5,6,7,10",6
WATSON.*,2,6
BUS/MRT .*,3,"4,5,6"
Cabcharge Asia Pte Ltd,3,
COMFORT.*,3,"2,3"
Grab.*,3,6
"HELLO, BICYCLE!",3,
PAYNOW WEBIKE PTE\.\.\. ,3,
RODALINK \(S\) PTE LTD-JURO,3,
SHELL GEYLANG LOR 7,3,6
TRANS-CAB S,3,2
TRANSCAB.*,3,
WEBIKE,3,
.*Audible.*,"4,5,9",1
BATA - JURONG POINT,4,4
Crocs Singapore Pte Ltd,4,
Crocs_PLQ Mall,4,
Globaltix Pte Ltd,4,4
KIDDY PALACE - .*,4,"5,7"
LEARNING HORIZON,4,
LEGO CERTIFIED STORE-RC,"4,5",
MOTHERCARE - PARKWAY,4,
NATIONAL LIBRARY BOARD,4,
OMISE\*AQUADUCKS SGH,4,6
OTT\* KIDSTREAM WWW\.KIDSTREAM,4,
